since_last_packet,bytes_per_interval
0.0124830,95
0.1380530,1287
0.0000450,1292
0.0000000,1292
0.0000000,907
0.0034610,1286
0.0001590,1292
0.0004230,1292
0.0000000,1292
0.0000000,1292
0.0001110,1292
0.0000000,1292
0.0001870,153
0.0013190,1286
0.0002350,1292
0.0000380,1292
0.0001960,1292
0.0000500,1292
0.0001550,301
0.0010920,1284
0.0005790,1292
0.0000000,1292
0.0000000,1292
0.0000000,1292
0.0005310,837
0.0002310,1274
0.0000000,373
0.0000000,187
0.0000970,103
0.0000000,248
0.0000000,103
0.0050320,175
0.0000000,103
0.0005070,215
0.0013340,103
0.0000000,167
0.0000000,103
0.0006610,180
0.0000000,103
0.0037860,1284
0.0000010,1292
0.0000430,1292
0.0000000,1292
0.0006000,1292
0.0000000,1292
0.0000000,1140
0.0003670,1284
0.0000000,556
0.0078420,132
0.0079490,1288
0.0000670,1292
0.0001490,1292
0.0000690,1292
0.0002100,1292
0.0002440,1292
0.0002430,1292
0.0000130,1292
0.0000000,1292
0.0001790,1292
0.0000520,1292
0.0004520,1292
0.0000670,1292
0.0017500,1292
0.0002950,1292
0.0000000,1292
0.0000000,1292
0.0002750,1292
0.0002160,1292
0.0000000,1292
0.0002680,1292
0.0002200,1292
0.0001550,1292
0.0000000,1292
0.0000150,1292
0.0003060,1184
0.0004870,101
0.0000000,84
0.0001740,101
0.0002350,84
0.0168490,883
0.0020530,88
0.0091780,1284
0.0000000,88
0.0003720,1292
0.0000000,1292
0.0002160,1292
0.0000000,1292
0.0004760,1193
0.0024310,1284
0.0000010,1292
0.0000000,1292
0.0000000,1292
0.0000000,1292
0.0000000,1292
0.0000000,1176
0.0054660,1284
0.0002060,1292
0.0002510,1292
0.0000460,1292
0.0002020,1292
0.0002950,1292
0.0000000,227
0.0345070,1284
0.0000000,1292
0.0000000,1292
0.0000000,1193
0.0037750,1284
0.0002320,1292
0.0002280,1292
0.0001340,1292
0.0000000,1292
0.0000810,1292
0.0000540,1292
0.0002470,1292
0.0002020,1292
0.0001350,1292
0.0000010,1292
0.0001140,1292
0.0002770,1292
0.0001370,817
0.0000770,1284
0.0000620,1292
0.0000000,128
0.1525800,155
0.0000000,161
0.0000000,167
0.0143080,102
0.0014850,1292
0.0000000,1292
0.0001750,1292
0.0000190,1292
0.0002760,1258
0.0008780,95
0.0104340,593
0.0000000,178
0.0016690,85
0.0002340,89
0.0028040,647
0.0202740,1288
0.0000210,1292
0.0001930,1292
0.0002180,1292
0.0002380,1292
0.0002140,1292
0.0000490,1292
0.0000000,1292
0.0020480,1292
0.0000010,1292
0.0003100,1292
0.0001410,1292
0.0002680,1292
0.0001890,1292
0.0000000,1292
0.0000250,1292
0.0003460,1292
0.0000000,1292
0.0002640,1292
0.0001560,1292
0.0016740,1292
0.0000000,1292
0.0000010,1292
0.0000000,1292
0.0000260,1292
0.0003290,1292
0.0000000,1292
0.0000000,1292
0.0001450,1292
0.0000650,1292
0.0005000,1292
0.0000000,1292
0.0018180,1292
0.0001670,1292
0.0002210,1292
0.0000000,1292
0.0000000,1292
0.0002470,1292
0.0002600,1292
0.0001470,1292
0.0000710,1292
0.0002380,1292
0.0000700,1292
0.0000000,1292
0.0001730,1292
0.0000000,1292
0.0002300,1163
0.0002790,1285
0.0015450,1292
0.0002360,1292
0.0002010,1292
0.0000790,1292
0.0000000,1292
0.0002280,1292
0.0002490,1292
0.0000000,1292
0.0002170,1292
0.0002380,1292
0.0000300,1292
0.0000000,1292
0.0002280,1292
0.0000010,1292
0.0002580,1292
0.0002180,1292
0.0018590,1292
0.0001670,1292
0.0000620,1292
0.0001830,1292
0.0000170,1292
0.0002320,1292
0.0005330,1292
0.0000010,1292
0.0000000,1292
0.0000000,1292
0.0001950,1292
0.0000680,1292
0.0005620,1292
0.0000000,1292
0.0001190,1292
0.0000560,1292
0.0000000,1292
0.0001840,1292
0.0000470,1292
0.0002560,1292
0.0001970,1292
0.0002550,1292
0.0000580,1292
0.0000000,1292
0.0003040,1292
0.0000000,1292
0.0001500,1292
0.0002370,1292
0.0002760,1292
0.0000640,1292
0.0000000,1292
0.0001710,1292
0.0000660,1292
0.0001990,1292
0.0002330,1292
0.0000710,1292
0.0001850,1292
0.0000700,1292
0.0000000,1292
0.0001820,1292
0.0002600,1292
0.0000000,1292
0.0002250,1292
0.0002510,1292
0.0001080,1292
0.0000000,1292
0.0001570,1292
0.0002480,1292
0.0000000,1292
0.0002470,1292
0.0000000,1292
0.0000000,1292
0.0002320,1292
0.0004620,1292
0.0001360,1292
0.0001990,1292
0.0000110,1292
0.0000000,1292
0.0015840,1292
0.0000010,1292
0.0000000,1292
0.0000000,1292
0.0000000,1292
0.0000000,1292
0.0000000,1292
0.0000000,1292
0.0000430,1292
0.0000000,1292
0.0000920,1292
0.0002430,1292
0.0000590,1292
0.0000000,1292
0.0002060,1292
0.0000630,1292
0.0001780,1292
0.0002710,1292
0.0000110,1292
0.0002000,1292
0.0000570,1292
0.0000000,1292
0.0001890,1292
0.0005570,1292
0.0000000,1292
0.0000000,1292
0.0002210,1292
0.0000590,1292
0.0000000,1292
0.0004770,1292
0.0000000,1292
0.0013680,1292
0.0000000,1292
